id_mutation;nature_mutation;date_mutation
245;Vente;2020-03-10
246;Vente;2020-03-10
247;Vente;2020-03-02
248;Vente;2020-02-27
249;Vente;2020-04-20
250;Vente;2020-04-23
251;Vente;2020-05-15
252;Vente;2020-03-10
253;Vente;2020-03-02
254;Vente;2020-05-06
255;Vente;2020-05-29
256;Vente;2020-05-14
257;Vente;2020-05-25
258;Vente;2020-06-05
259;Vente;2020-06-04
260;Vente;2020-05-16
261;Vente;2020-05-27
262;Vente;2020-05-28
263;Vente;2020-06-10
264;Vente;2020-06-30
265;Vente;2020-06-05
266;Vente;2020-06-18
267;Vente;2020-06-09
268;Vente;2020-06-10
269;Vente;2020-06-25
270;Vente;2020-01-24
271;Vente;2020-02-07
272;Vente;2020-03-11
273;Vente;2020-06-10
274;Vente;2020-06-08
275;Vente;2020-01-21
276;Vente;2020-01-03
277;Vente;2020-01-07
278;Vente;2020-01-15
279;Vente;2020-01-16
280;Vente;2020-03-16
281;Vente;2020-02-28
282;Vente;2020-03-17
283;Vente;2020-05-06
284;Vente;2020-05-19
285;Vente;2020-06-18
286;Vente;2020-05-16
287;Vente;2020-05-25
288;Vente;2020-05-15
289;Vente;2020-05-25
290;Vente;2020-05-20
291;Vente;2020-06-09
292;Vente;2020-01-04
293;Vente;2020-01-03
294;Vente;2020-01-10
295;Vente;2020-01-21
296;Vente;2020-01-06
297;Vente;2020-01-11
298;Vente;2020-01-03
299;Vente;2020-01-21
300;Vente;2020-01-20
301;Vente;2020-01-22
302;Vente;2020-01-17
303;Vente;2020-01-15
304;Vente;2020-01-21
305;Vente;2020-01-29
306;Vente;2020-01-14
307;Vente;2020-01-23
308;Vente;2020-01-16
309;Vente;2020-01-20
310;Vente;2020-01-29
311;Vente;2020-01-03
312;Vente;2020-01-20
313;Vente;2020-02-07
314;Vente;2020-01-31
315;Vente;2020-01-30
316;Vente;2020-02-04
317;Vente;2020-02-10
318;Vente;2020-01-24
319;Vente;2020-01-23
320;Vente;2020-02-07
321;Vente;2020-02-05
322;Vente;2020-01-31
323;Vente;2020-02-13
324;Vente;2020-02-14
325;Vente;2020-02-14
326;Vente;2020-01-27
327;Vente;2020-02-04
328;Vente;2020-01-31
329;Vente;2020-02-07
330;Vente;2020-02-14
331;Vente;2020-01-30
332;Vente;2020-01-31
333;Vente;2020-02-12
334;Vente;2020-02-12
335;Vente;2020-01-27
336;Vente;2020-02-21
337;Vente;2020-01-29
338;Vente;2020-02-13
339;Vente;2020-02-25
340;Vente;2020-02-17
341;Vente;2020-02-22
342;Vente;2020-02-04
343;Vente;2020-02-08
344;Vente;2020-02-13
345;Vente;2020-02-06
346;Vente;2020-02-19
347;Vente;2020-02-11
348;Vente;2020-02-12
349;Vente;2020-02-21
350;Vente;2020-02-14
351;Vente;2020-02-07
352;Vente;2020-02-26
353;Vente;2020-02-29
354;Vente;2020-02-25
355;Vente;2020-02-26
356;Vente;2020-02-24
357;Vente;2020-02-27
358;Vente;2020-02-14
359;Vente;2020-02-27
360;Vente;2020-02-17
361;Vente;2020-02-14
362;Vente;2020-02-21
363;Vente;2020-02-21
364;Vente;2020-02-26
365;Vente;2020-02-22
366;Vente;2020-02-19
367;Vente;2020-02-20
368;Vente;2020-03-03
369;Vente;2020-03-03
370;Vente;2020-03-03
371;Vente;2020-03-02
372;Vente;2020-02-21
373;Vente;2020-02-15
374;Vente;2020-02-25
375;Vente;2020-02-15
376;Vente;2020-03-09
377;Vente;2020-02-28
378;Vente;2020-03-06
379;Vente;2020-03-06
380;Vente;2020-03-31
381;Vente;2020-03-14
382;Vente;2020-04-21
383;Vente;2020-03-18
384;Vente;2020-02-26
385;Vente;2020-04-30
386;Vente;2020-04-30
387;Vente;2020-05-05
388;Vente;2020-04-30
389;Vente;2020-05-04
390;Vente;2020-04-24
391;Vente;2020-04-29
392;Vente;2020-05-07
393;Vente;2020-05-12
394;Vente;2020-04-15
395;Vente;2020-05-18
396;Vente;2020-05-15
397;Vente;2020-05-15
398;Vente;2020-05-19
399;Vente;2020-05-12
400;Vente;2020-05-13
401;Vente;2020-05-20
402;Vente;2020-05-27
403;Vente;2020-05-13
404;Vente;2020-05-28
405;Vente;2020-05-26
406;Vente;2020-04-30
407;Vente;2020-05-13
408;Vente;2020-05-07
409;Vente;2020-05-27
410;Vente;2020-05-29
411;Vente;2020-05-14
412;Vente;2020-05-16
413;Vente;2020-06-03
414;Vente;2020-05-26
415;Vente;2020-05-29
416;Vente;2020-05-29
417;Vente;2020-05-29
418;Vente;2020-05-30
419;Vente;2020-06-06
420;Vente;2020-05-26
421;Vente;2020-05-18
422;Vente;2020-05-20
423;Vente;2020-06-11
424;Vente;2020-06-03
425;Vente;2020-05-28
426;Vente;2020-05-20
427;Vente;2020-06-06
428;Vente;2020-01-25
429;Vente;2020-06-16
430;Vente;2020-05-29
431;Vente;2020-06-03
432;Vente;2020-06-10
433;Vente;2020-06-20
434;Vente;2020-06-12
435;Vente;2020-05-28
436;Vente;2020-06-11
437;Vente;2020-06-15
438;Vente;2020-06-15
439;Vente;2020-06-03
440;Vente;2020-06-13
441;Vente;2020-06-26
442;Vente;2020-06-18
443;Vente;2020-06-06
444;Vente;2020-06-26
445;Vente;2020-06-05
446;Vente;2020-06-26
447;Vente;2020-06-10
448;Vente;2020-06-29
449;Vente;2020-06-23
450;Vente;2020-06-11
451;Vente;2020-06-17
452;Vente;2020-06-30
453;Vente;2020-06-30
454;Vente;2020-01-29
455;Vente;2020-01-20
456;Vente;2020-01-16
457;Vente;2020-02-12
458;Vente;2020-01-16
459;Vente;2020-02-07
460;Vente;2020-01-22
461;Vente;2020-02-18
462;Vente;2020-02-21
463;Vente;2020-02-12
464;Vente;2020-02-05
465;Vente;2020-02-07
466;Vente;2020-02-10
467;Vente;2020-02-24
468;Vente;2020-02-27
469;Vente;2020-02-24
470;Vente;2020-02-22
471;Vente;2020-02-25
472;Vente;2020-02-18
473;Vente;2020-02-20
474;Vente;2020-02-21
475;Vente;2020-02-28
476;Vente;2020-03-16
477;Vente;2020-03-26
478;Vente;2020-04-02
479;Vente;2020-03-02
480;Vente;2020-04-22
481;Vente;2020-04-03
482;Vente;2020-04-16
483;Vente;2020-03-27
484;Vente;2020-03-04
485;Vente;2020-04-27
486;Vente;2020-04-30
487;Vente;2020-04-27
488;Vente;2020-05-06
489;Vente;2020-04-30
490;Vente;2020-04-22
491;Vente;2020-05-14
492;Vente;2020-05-13
493;Vente;2020-05-14
494;Vente;2020-05-29
495;Vente;2020-05-28
496;Vente;2020-05-26
497;Vente;2020-05-30
498;Vente;2020-05-29
499;Vente;2020-05-28
500;Vente;2020-06-04
501;Vente;2020-05-30
502;Vente;2020-05-11
503;Vente;2020-05-28
504;Vente;2020-05-29
505;Vente;2020-06-08
506;Vente;2020-05-16
507;Vente;2020-05-18
508;Vente;2020-05-15
509;Vente;2020-05-18
510;Vente;2020-05-29
511;Vente;2020-05-22
512;Vente;2020-06-10
513;Vente;2020-05-15
514;Vente;2020-06-05
515;Vente;2020-06-06
516;Vente;2020-06-03
517;Vente;2020-06-09
518;Vente;2020-06-19
519;Vente;2020-06-05
520;Vente;2020-06-08
521;Vente;2020-06-05
522;Vente;2020-06-05
523;Vente;2020-06-23
524;Vente;2020-06-08
525;Vente;2020-05-29
526;Vente;2020-06-23
527;Vente;2020-06-26
528;Vente;2020-06-15
529;Vente;2020-06-12
530;Vente;2020-06-15
531;Vente;2020-06-05
532;Vente;2020-06-06
533;Vente;2020-06-06
534;Vente;2020-06-06
535;Vente;2020-06-29
536;Vente;2020-06-15
537;Vente;2020-06-26
538;Vente;2020-06-15
539;Vente;2020-06-24
540;Vente;2020-06-23
541;Vente;2020-06-15
542;Vente;2020-06-22
543;Vente;2020-06-30
544;Vente;2020-06-29
545;Vente;2020-01-03
546;Vente;2020-01-03
547;Vente;2020-01-02
548;Vente;2020-01-13
549;Vente;2020-01-13
550;Vente;2020-01-10
551;Vente;2020-01-15
552;Vente;2020-01-06
553;Vente;2020-01-14
554;Vente;2020-01-10
555;Vente;2020-01-16
556;Vente;2020-01-08
557;Vente;2020-01-09
558;Vente;2020-01-09
559;Vente;2020-01-03
560;Vente;2020-01-10
561;Vente;2020-01-09
562;Vente;2020-01-17
563;Vente;2020-01-17
564;Vente;2020-01-10
565;Vente;2020-01-14
566;Vente;2020-01-20
567;Vente;2020-01-06
568;Vente;2020-01-14
569;Vente;2020-01-20
570;Vente;2020-01-17
571;Vente;2020-01-17
572;Vente;2020-02-03
573;Vente;2020-01-20
574;Vente;2020-01-28
575;Vente;2020-01-24
576;Vente;2020-01-24
577;Vente;2020-01-31
578;Vente;2020-01-24
579;Vente;2020-01-24
580;Vente;2020-02-07
581;Vente;2020-01-21
582;Vente;2020-02-05
583;Vente;2020-01-31
584;Vente;2020-01-24
585;Vente;2020-02-14
586;Vente;2020-01-27
587;Vente;2020-02-06
588;Vente;2020-01-30
589;Vente;2020-01-24
590;Vente;2020-02-05
591;Vente;2020-02-06
592;Vente;2020-02-05
593;Vente;2020-02-06
594;Vente;2020-02-06
595;Vente;2020-02-14
596;Vente;2020-02-13
597;Vente;2020-02-12
598;Vente;2020-02-13
599;Vente;2020-02-12
600;Vente;2020-01-30
601;Vente;2020-02-10
602;Vente;2020-01-30
603;Vente;2020-02-04
604;Vente;2020-02-24
605;Vente;2020-02-14
606;Vente;2020-02-17
607;Vente;2020-01-31
608;Vente;2020-02-28
609;Vente;2020-02-25
610;Vente;2020-02-04
611;Vente;2020-02-11
612;Vente;2020-02-14
613;Vente;2020-02-10
614;Vente;2020-02-17
615;Vente;2020-02-06
616;Vente;2020-02-29
617;Vente;2020-02-20
618;Vente;2020-02-21
619;Vente;2020-02-13
620;Vente;2020-02-12
621;Vente;2020-02-12
622;Vente;2020-01-15
623;Vente;2020-01-21
624;Vente;2020-02-27
625;Vente;2020-02-17
626;Vente;2020-02-21
627;Vente;2020-03-04
628;Vente;2020-02-19
629;Vente;2020-02-17
630;Vente;2020-03-16
631;Vente;2020-02-21
632;Vente;2020-03-16
633;Vente;2020-03-09
634;Vente;2020-03-06
635;Vente;2020-03-03
636;Vente;2020-03-06
637;Vente;2020-02-28
638;Vente;2020-03-10
639;Vente;2020-03-05
640;Vente;2020-03-02
641;Vente;2020-02-28
642;Vente;2020-03-05
643;Vente;2020-03-06
644;Vente;2020-03-03
645;Vente;2020-03-27
646;Vente;2020-03-16
647;Vente;2020-03-06
648;Vente;2020-03-17
649;Vente;2020-03-26
650;Vente;2020-03-31
651;Vente;2020-03-20
652;Vente;2020-03-12
653;Vente;2020-03-23
654;Vente;2020-04-02
655;Vente;2020-03-31
656;Vente;2020-04-09
657;Vente;2020-04-07
658;Vente;2020-04-20
659;Vente;2020-04-23
660;Vente;2020-04-15
661;Vente;2020-04-21
662;Vente;2020-03-26
663;Vente;2020-02-11
664;Vente;2020-02-11
665;Vente;2020-04-16
666;Vente;2020-04-24
667;Vente;2020-04-27
668;Vente;2020-05-06
669;Vente;2020-04-30
670;Vente;2020-05-05
671;Vente;2020-05-05
672;Vente;2020-04-30
673;Vente;2020-04-27
674;Vente;2020-05-15
675;Vente;2020-05-18
676;Vente;2020-05-15
677;Vente;2020-05-14
678;Vente;2020-04-30
679;Vente;2020-05-06
680;Vente;2020-05-11
681;Vente;2020-05-19
682;Vente;2020-05-19
683;Vente;2020-05-04
684;Vente;2020-03-30
685;Vente;2020-05-19
686;Vente;2020-05-19
687;Vente;2020-05-11
688;Vente;2020-04-28
689;Vente;2020-05-20
690;Vente;2020-05-14
691;Vente;2020-05-15
692;Vente;2020-05-25
693;Vente;2020-05-14
694;Vente;2020-05-29
695;Vente;2020-05-26
696;Vente;2020-05-14
697;Vente;2020-05-15
698;Vente;2020-05-28
699;Vente;2020-05-18
700;Vente;2020-05-14
701;Vente;2020-06-04
702;Vente;2020-06-04
703;Vente;2020-05-19
704;Vente;2020-05-20
705;Vente;2020-05-15
706;Vente;2020-05-19
707;Vente;2020-05-25
708;Vente;2020-05-28
709;Vente;2020-05-20
710;Vente;2020-05-20
711;Vente;2020-05-20
712;Vente;2020-05-25
713;Vente;2020-05-28
714;Vente;2020-05-22
715;Vente;2020-05-25
716;Vente;2020-06-04
717;Vente;2020-06-11
718;Vente;2020-06-10
719;Vente;2020-06-09
720;Vente;2020-05-29
721;Vente;2020-06-10
722;Vente;2020-06-03
723;Vente;2020-06-09
724;Vente;2020-06-03
725;Vente;2020-06-12
726;Vente;2020-06-19
727;Vente;2020-06-05
728;Vente;2020-06-11
729;Vente;2020-06-08
730;Vente;2020-06-15
731;Vente;2020-06-05
732;Vente;2020-06-03
733;Vente;2020-06-02
734;Vente;2020-06-09
735;Vente;2020-06-10
736;Vente;2020-06-17
737;Vente;2020-05-29
738;Vente;2020-06-04
739;Vente;2020-06-15
740;Vente;2020-05-19
741;Vente;2020-06-15
742;Vente;2020-06-12
743;Vente;2020-06-08
744;Vente;2020-06-29
745;Vente;2020-06-08
746;Vente;2020-06-16
747;Vente;2020-06-26
748;Vente;2020-04-30
749;Vente;2020-06-02
750;Vente;2020-06-30
751;Vente;2020-06-10
752;Vente;2020-06-16
753;Vente;2020-06-17
754;Vente;2020-06-30
755;Vente;2020-06-19
756;Vente;2020-06-22
757;Vente;2020-06-05
758;Vente;2020-06-12
759;Vente;2020-06-17
760;Vente;2020-06-15
761;Vente;2020-06-15
762;Vente;2020-06-26
763;Vente;2020-06-25
764;Vente;2020-06-16
765;Vente;2020-06-30
766;Vente;2020-06-26
767;Vente;2020-06-18
768;Vente;2020-06-11
769;Vente;2020-06-11
770;Vente;2020-06-17
771;Vente;2020-06-25
772;Vente;2020-01-10
773;Vente;2020-01-08
774;Vente;2020-01-08
775;Vente;2020-01-10
776;Vente;2020-01-16
777;Vente;2020-01-10
778;Vente;2020-01-13
779;Vente;2020-01-15
780;Vente;2020-01-17
781;Vente;2020-01-17
782;Vente;2020-02-04
783;Vente;2020-01-23
784;Vente;2020-01-29
785;Vente;2020-01-21
786;Vente;2020-02-11
787;Vente;2020-01-31
788;Vente;2020-01-29
789;Vente;2020-01-31
790;Vente;2020-02-07
791;Vente;2020-01-30
792;Vente;2020-02-11
793;Vente;2020-02-06
794;Vente;2020-02-26
795;Vente;2020-02-14
796;Vente;2020-02-10
797;Vente;2020-02-12
798;Vente;2020-02-10
799;Vente;2020-02-25
800;Vente;2020-02-11
801;Vente;2020-02-26
802;Vente;2020-02-24
803;Vente;2020-02-27
804;Vente;2020-02-13
805;Vente;2020-03-03
806;Vente;2020-03-10
807;Vente;2020-02-28
808;Vente;2020-02-17
809;Vente;2020-02-28
810;Vente;2020-03-03
811;Vente;2020-02-29
812;Vente;2020-03-02
813;Vente;2020-02-21
814;Vente;2020-03-09
815;Vente;2020-03-17
816;Vente;2020-03-04
817;Vente;2020-02-27
818;Vente;2020-03-11
819;Vente;2020-03-11
820;Vente;2020-03-18
821;Vente;2020-03-16
822;Vente;2020-03-12
823;Vente;2020-03-02
824;Vente;2020-02-26
825;Vente;2020-03-16
826;Vente;2020-03-11
827;Vente;2020-02-27
828;Vente;2020-03-31
829;Vente;2020-03-16
830;Vente;2020-03-06
831;Vente;2020-03-26
832;Vente;2020-03-31
833;Vente;2020-03-13
834;Vente;2020-03-16
835;Vente;2020-03-16
836;Vente;2020-03-20
837;Vente;2020-03-23
838;Vente;2020-03-17
839;Vente;2020-02-21
840;Vente;2020-03-27
841;Vente;2020-04-06
842;Vente;2020-04-10
843;Vente;2020-04-09
844;Vente;2020-04-10
845;Vente;2020-04-29
846;Vente;2020-05-12
847;Vente;2020-04-23
848;Vente;2020-05-12
849;Vente;2020-04-22
850;Vente;2020-05-05
851;Vente;2020-05-13
852;Vente;2020-05-07
853;Vente;2020-05-18
854;Vente;2020-05-19
855;Vente;2020-05-19
856;Vente;2020-05-12
857;Vente;2020-05-13
858;Vente;2020-05-25
859;Vente;2020-05-15
860;Vente;2020-05-14
861;Vente;2020-05-25
862;Vente;2020-05-26
863;Vente;2020-05-18
864;Vente;2020-05-18
865;Vente;2020-05-15
866;Vente;2020-05-20
867;Vente;2020-05-20
868;Vente;2020-05-20
869;Vente;2020-05-20
870;Vente;2020-05-28
871;Vente;2020-05-29
872;Vente;2020-05-19
873;Vente;2020-05-20
874;Vente;2020-06-08
875;Vente;2020-05-28
876;Vente;2020-05-26
877;Vente;2020-05-27
878;Vente;2020-06-05
879;Vente;2020-05-15
880;Vente;2020-05-14
881;Vente;2020-05-28
882;Vente;2020-06-12
883;Vente;2020-06-02
884;Vente;2020-06-04
885;Vente;2020-05-26
886;Vente;2020-06-02
887;Vente;2020-05-18
888;Vente;2020-05-26
889;Vente;2020-06-10
890;Vente;2020-06-10
891;Vente;2020-06-09
892;Vente;2020-06-04
893;Vente;2020-06-02
894;Vente;2020-06-08
895;Vente;2020-06-04
896;Vente;2020-06-15
897;Vente;2020-05-28
898;Vente;2020-06-12
899;Vente;2020-05-25
900;Vente;2020-05-28
901;Vente;2020-06-10
902;Vente;2020-05-27
903;Vente;2020-06-02
904;Vente;2020-06-02
905;Vente;2020-06-15
906;Vente;2020-06-08
907;Vente;2020-06-02
908;Vente;2020-06-05
909;Vente;2020-06-01
910;Vente;2020-06-23
911;Vente;2020-06-12
912;Vente;2020-06-17
913;Vente;2020-05-25
914;Vente;2020-06-09
915;Vente;2020-06-02
916;Vente;2020-06-03
917;Vente;2020-06-10
918;Vente;2020-06-08
919;Vente;2020-06-09
920;Vente;2020-06-04
921;Vente;2020-06-12
922;Vente;2020-05-29
923;Vente;2020-06-15
924;Vente;2020-06-23
925;Vente;2020-06-22
926;Vente;2020-06-09
927;Vente;2020-06-10
928;Vente;2020-06-15
929;Vente;2020-06-16
930;Vente;2020-06-22
931;Vente;2020-06-05
932;Vente;2020-06-12
933;Vente;2020-06-23
934;Vente;2020-06-25
935;Vente;2020-06-18
936;Vente;2020-06-15
937;Vente;2020-06-25
938;Vente;2020-06-26
939;Vente;2020-06-23
940;Vente;2020-06-05
941;Vente;2020-06-25
942;Vente;2020-06-12
943;Vente;2020-06-25
944;Vente;2020-06-17
945;Vente;2020-06-25
946;Vente;2020-06-18
947;Vente;2020-06-29
948;Vente;2020-06-23
949;Vente;2020-06-26
950;Vente;2020-06-29
951;Vente;2020-06-23
952;Vente;2020-06-24
953;Vente;2020-06-23
954;Vente;2020-06-25
955;Vente;2020-06-29
956;Vente;2020-06-26
957;Vente;2020-01-06
958;Vente;2020-01-20
959;Vente;2020-01-16
960;Vente;2020-01-14
961;Vente;2020-01-09
962;Vente;2020-01-14
963;Vente;2020-01-14
964;Vente;2020-01-06
965;Vente;2020-01-07
966;Vente;2020-01-15
967;Vente;2020-01-16
968;Vente;2020-01-07
969;Vente;2020-01-14
970;Vente;2020-01-09
971;Vente;2020-01-21
972;Vente;2020-01-31
973;Vente;2020-01-21
974;Vente;2020-01-07
975;Vente;2020-01-28
976;Vente;2020-02-07
977;Vente;2020-01-17
978;Vente;2020-01-23
979;Vente;2020-01-24
980;Vente;2020-01-24
981;Vente;2020-02-07
982;Vente;2020-01-20
983;Vente;2020-02-13
984;Vente;2020-02-04
985;Vente;2020-01-29
986;Vente;2020-01-17
987;Vente;2020-02-11
988;Vente;2020-02-19
989;Vente;2020-02-13
990;Vente;2020-02-14
991;Vente;2020-01-27
992;Vente;2020-02-18
993;Vente;2020-01-30
994;Vente;2020-02-11
995;Vente;2020-01-31
996;Vente;2020-02-06
997;Vente;2020-02-05
998;Vente;2020-02-11
999;Vente;2020-02-14
1000;Vente;2020-02-13
1001;Vente;2020-02-11
1002;Vente;2020-01-15
1003;Vente;2020-02-25
1004;Vente;2020-02-26
1005;Vente;2020-02-07
1006;Vente;2020-02-28
1007;Vente;2020-02-14
1008;Vente;2020-02-21
1009;Vente;2020-02-14
1010;Vente;2020-02-14
1011;Vente;2020-02-14
1012;Vente;2020-02-24
1013;Vente;2020-03-02
1014;Vente;2020-02-25
1015;Vente;2020-02-17
1016;Vente;2020-02-18
1017;Vente;2020-02-24
1018;Vente;2020-02-17
1019;Vente;2020-03-04
1020;Vente;2020-03-06
1021;Vente;2020-02-28
1022;Vente;2020-03-13
1023;Vente;2020-03-06
1024;Vente;2020-03-02
1025;Vente;2020-03-05
1026;Vente;2020-03-03
1027;Vente;2020-03-11
1028;Vente;2020-03-20
1029;Vente;2020-03-20
1030;Vente;2020-03-05
1031;Vente;2020-03-12
1032;Vente;2020-03-25
1033;Vente;2020-03-25
1034;Vente;2020-03-10
1035;Vente;2020-03-24
1036;Vente;2020-03-13
1037;Vente;2020-03-13
1038;Vente;2020-03-19
1039;Vente;2020-03-16
1040;Vente;2020-03-03
1041;Vente;2020-03-26
1042;Vente;2020-03-26
1043;Vente;2020-03-20
1044;Vente;2020-03-26
1045;Vente;2020-03-12
1046;Vente;2020-03-17
1047;Vente;2020-03-26
1048;Vente;2020-04-01
1049;Vente;2020-04-02
1050;Vente;2020-04-03
1051;Vente;2020-04-14
1052;Vente;2020-04-02
1053;Vente;2020-04-22
1054;Vente;2020-04-23
1055;Vente;2020-04-10
1056;Vente;2020-04-23
1057;Vente;2020-02-28
1058;Vente;2020-04-28
1059;Vente;2020-03-27
1060;Vente;2020-04-30
1061;Vente;2020-04-30
1062;Vente;2020-04-30
1063;Vente;2020-02-21
1064;Vente;2020-03-02
1065;Vente;2020-03-02
1066;Vente;2020-05-15
1067;Vente;2020-05-07
1068;Vente;2020-05-15
