id_commune;code_postal;commune
216;06510;CARROS
217;06140;VENCE
218;06530;SAINT-CEZAIRE-SUR-SIAGNE
219;06510;LE BROC
220;06460;SAINT-VALLIER-DE-THIEY
221;06610;LA GAUDE
222;06620;LE BAR-SUR-LOUP
223;06560;VALBONNE
224;06620;GREOLIERES
225;06530;PEYMEINADE
226;06750;ANDON
227;06800;CAGNES SUR MER
228;06270;VILLENEUVE-LOUBET
229;06700;SAINT LAURENT DU VAR
230;06480;LA COLLE SUR LOUP
231;06570;SAINT-PAUL-DE-VENCE
232;07700;SAINT-JUST-D'ARDECHE
233;07600;VALS-LES-BAINS
234;07700;BOURG-SAINT-ANDEOL
235;07140;GRAVIERES
236;07150;SALAVAS
237;07200;AUBENAS
238;07800;LA-VOULTE-SUR-RHONE
239;07000;PRIVAS
240;07800;CHARMES-SUR-RHONE
241;07150;VALLON PONT D'ARC
242;07200;LABEGUDE
243;07120;RUOMS
244;07200;LANAS
245;07200;SAINT-SERNIN
246;07800;SAINT-GEORGES-LES-BAINS
247;07220;VIVIERS
248;07220;SAINT-MONTAN
249;07000;ST JULIEN EN ST ALBAN
250;07700;SAINT-MARTIN-D' ARDECHE
251;07300;TOURNON-SUR-RHONE
252;07130;SAINT-PERAY
253;07500;GUILHERAND-GRANGES
254;07100;ANNONAY
255;07370;SARRAS
256;07340;FELINES
257;07300;SAINT-JEAN-DE-MUZOLS
258;07430;DAVEZIEUX
259;08000;CHARLEVILLE-MEZIERES
260;08600;GIVET
261;08090;SAINT-LAURENT
262;08300;RETHEL
263;08200;SEDAN
264;08110;CARIGNAN
265;08200;BALAN
266;08140;BAZEILLES
267;09140;USTOU
268;09700;SAVERDUN
269;09000;FOIX
270;09100;SAINT-JEAN-DU-FALGA
271;09250;LUZENAC
272;09110;AX-LES-THERMES
273;09500;MIREPOIX
274;09300;LAVELANET
275;09100;PAMIERS
276;09350;DAUMAZAN-SUR-ARIZE
277;10300;SAINTE SAVINE
278;10430;ROSIERES PRES TROYES
279;10100;ROMILLY SUR SEINE
280;10800;SAINT JULIEN LES VILLAS
281;10120;SAINT ANDRE LES VERGERS
282;10000;TROYES
283;10400;TRAINEL
284;10600;LA CHAPELLE ST LUC
285;10200;BAR SUR AUBE
286;10150;PONTSAINTE MARIE
287;10400;NOGENT SUR SEINE
288;10420;LES NOES PRES TROYES
289;10200;COLOMBE LA FOSSE
290;10500;DIENVILLE
291;11000;CARCASSONNE
292;11400;CASTELNAUDARY
293;11150;PEXIORA
294;11800;TREBES
295;11290;LAVALETTE
296;11300;LIMOUX
297;11190;RENNES LES BAINS
298;11510;FITOU
299;11130;SIGEAN
300;11210;PORT-LA-NOUVELLE
301;11430;GRUISSAN
302;11370;LEUCATE
303;11100;NARBONNE
304;11110;VINASSAN
305;11560;FLEURY D AUDE
306;11200;BOUTENAC
307;11440;PEYRIAC DE MER
308;11100;BAGES
